date,pick,buy_hit,sell_hit,signals,held,day_pnl,portfolio,top3,month
2025-11-14,메리츠금융지주,6,1,"GC,MACD,BB회귀,W패턴,200일선,STO_GC",메리츠금융지주,1.2177715747667017,9113361.312591886,메리츠금융지주 | 삼성생명 | 셀트리온,2025-11
2025-11-17,KT&G,6,0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",KT&G,-2.53682487725041,8923305.901333792,KT&G | 메리츠금융지주 | 셀트리온,2025-11
2025-11-18,기아,4,2,"GC,BB회귀,W패턴,STO_GC",기아,0.21202222098526402,8748045.64483765,기아 | POSCO홀딩스 | KT&G,2025-11
2025-11-19,셀트리온,4,4,"GC,MACD,W패턴,STO_GC",셀트리온,-0.5159071367153767,8785518.23417543,셀트리온 | 기아 | POSCO홀딩스,2025-11
2025-11-20,SK텔레콤,7,2,"GC,지지반등,MACD,BB회귀,W패턴,200일선,피보나치",SK텔레콤,0.6996739545592767,8810568.66784219,SK텔레콤 | 셀트리온 | KT&G,2025-11
2025-11-21,셀트리온,5,2,"GC,MACD,BB회귀,W패턴,STO_GC",셀트리온,-0.7448789571694592,8977846.519107243,셀트리온 | HMM | 메리츠금융지주,2025-11
2025-11-24,셀트리온,4,1,"GC,MACD,BB회귀,STO_GC",셀트리온,3.386129552568451,8705871.142816147,셀트리온 | KT&G | 기아,2025-11
2025-11-25,SK텔레콤,5,2,"GC,BB회귀,W패턴,200일선,피보나치",SK텔레콤,-3.0110919909988376,8692315.333118854,SK텔레콤 | 삼성전자 | 카카오,2025-11
2025-11-26,삼성전자,4,1,"GC,RSI탈출,BB회귀,STO_GC",삼성전자,-1.442514085958635e-06,8935661.29816535,삼성전자 | 셀트리온 | HMM,2025-11
2025-11-27,삼성전기,6,1,"GC,RSI탈출,MACD,BB회귀,거래량돌파,STO_GC",삼성전기,3.5820866190228617,9116476.010239143,삼성전기 | 삼성물산 | 삼성전자,2025-11
2025-11-28,현대모비스,5,0,"GC,MACD,BB회귀,W패턴,STO_GC",현대모비스,0.1980211102570184,9167729.667878043,현대모비스 | 삼성전자 | LG에너지솔루션,2025-11
2025-12-01,현대모비스,5,0,"GC,MACD,BB회귀,W패턴,STO_GC",현대모비스,0.9852262807007239,8975481.564915985,현대모비스 | HMM | SK텔레콤,2025-12
2025-12-02,우리금융지주,6,2,"GC,MACD,BB회귀,거래량돌파,W패턴,STO_GC",우리금융지주,-0.1626091394821061,9513703.759074207,우리금융지주 | HMM | 삼성물산,2025-12
2025-12-03,우리금융지주,6,2,"GC,MACD,BB회귀,거래량돌파,W패턴,STO_GC",우리금융지주,3.2608764547509272,9328617.294005457,우리금융지주 | HMM | 삼성전자,2025-12
2025-12-04,삼성생명,5,0,"GC,MACD,BB회귀,W패턴,STO_GC",삼성생명,-0.17544580650796782,9385276.132015372,삼성생명 | 카카오 | 메리츠금융지주,2025-12
2025-12-05,현대차,6,0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",현대차,0.1930487465940267,10367683.778501987,현대차 | 삼성생명 | LG,2025-12
2025-12-08,현대차,7,0,"GC,RSI탈출,MACD,BB회귀,거래량돌파,W패턴,STO_GC",현대차,13.829780522713907,10359882.38347676,현대차 | 메리츠금융지주 | HMM,2025-12
2025-12-09,삼성SDI,5,0,"GC,RSI탈출,BB회귀,W패턴,STO_GC",삼성SDI,-4.049844018308358,10075201.13707961,삼성SDI | 카카오 | 현대차,2025-12
2025-12-10,HMM,6,1,"GC,MACD,BB회귀,W패턴,200일선,STO_GC",HMM,4.99194847020934,10332682.052329421,HMM | 삼성생명 | SK텔레콤,2025-12
2025-12-11,SK하이닉스,5,0,"GC,RSI탈출,BB회귀,W패턴,STO_GC",SK하이닉스,-1.699030161314119,10054735.237845637,SK하이닉스 | 삼성바이오로직스 | LG에너지솔루션,2025-12
2025-12-12,LG에너지솔루션,6,1,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",LG에너지솔루션,-3.087480271122478,10043657.300845196,LG에너지솔루션 | 셀트리온 | HMM,2025-12
2025-12-15,메리츠금융지주,8,2,"GC,지지반등,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",메리츠금융지주,-1.348314606741574,9860620.095845196,메리츠금융지주 | SK이노베이션 | LG,2025-12
2025-12-16,셀트리온,5,1,"GC,RSI탈출,BB회귀,W패턴,STO_GC",셀트리온,-0.27198549410698547,9688359.335104521,셀트리온 | 삼성바이오로직스 | 메리츠금융지주,2025-12
2025-12-17,삼성바이오로직스,6,0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",삼성바이오로직스,-0.7965995847319607,9528662.283466393,삼성바이오로직스 | KT&G | LG,2025-12
2025-12-18,SK하이닉스,5,1,"GC,RSI탈출,BB회귀,W패턴,STO_GC",SK하이닉스,-2.2346368715083775,9746002.564272314,SK하이닉스 | SK이노베이션 | POSCO홀딩스,2025-12
2025-12-19,SK하이닉스,5,1,"GC,RSI탈출,BB회귀,W패턴,STO_GC",SK하이닉스,5.76207333903791,9638969.355809093,SK하이닉스 | 카카오 | 삼성바이오로직스,2025-12
2025-12-22,SK텔레콤,6,4,"지지반등,BB회귀,W패턴,200일선,STO_GC,피보나치",SK텔레콤,0.8787416514479673,10189442.946543956,SK텔레콤 | NAVER | 메리츠금융지주,2025-12
2025-12-23,NAVER,5,1,"RSI탈출,BB회귀,200일선,STO_GC,피보나치",NAVER,0.7604582575319929,10085279.561725665,NAVER | 삼성생명 | 메리츠금융지주,2025-12
2025-12-24,SK텔레콤,6,3,"지지반등,BB회귀,W패턴,200일선,STO_GC,피보나치",SK텔레콤,-0.42016572495868765,10080933.351413153,SK텔레콤 | SK하이닉스 | 삼성생명,2025-12
2025-12-26,SK하이닉스,5,2,"GC,MACD,BB회귀,W패턴,STO_GC",SK하이닉스,7.501069987370101e-07,10118914.01454604,SK하이닉스 | KB금융 | 카카오,2025-12
2025-12-29,SK하이닉스,5,1,"GC,MACD,BB회귀,W패턴,STO_GC",SK하이닉스,6.060602751322985,10750458.584047602,SK하이닉스 | 삼성바이오로직스 | 삼성전자,2025-12
2025-12-30,SK텔레콤,7,3,"지지반등,RSI탈출,BB회귀,W패턴,200일선,STO_GC,피보나치",SK텔레콤,1.4285668395604079,10771342.81205561,SK텔레콤 | 메리츠금융지주 | 하나금융지주,2025-12
2026-01-02,NAVER,6,0,"RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",NAVER,0.5639077880555954,10898994.297202848,NAVER | SK텔레콤 | 메리츠금융지주,2026-01
2026-01-05,카카오,7,0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",카카오,2.053389633008962,10991832.855110036,카카오 | NAVER | 셀트리온,2026-01
2026-01-06,NAVER,7,0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",NAVER,1.3277819066459529e-06,11371491.553477934,NAVER | 카카오 | SK,2026-01
2026-01-07,SK,7,0,"GC,RSI탈출,MACD,BB회귀,거래량돌파,W패턴,STO_GC",SK,3.4068154303166454,11140981.395485247,SK | NAVER | 한국전력,2026-01
2026-01-08,기아,6,1,"GC,MACD,BB회귀,거래량돌파,W패턴,STO_GC",기아,-2.105257177319364,10489852.322844988,기아 | 현대차 | 삼성물산,2026-01
2026-01-09,셀트리온,5,1,"GC,MACD,BB회귀,W패턴,STO_GC",셀트리온,-3.511454761624977,10838259.325907769,셀트리온 | 삼성전기 | 삼성물산,2026-01
2026-01-12,현대차,7,2,"GC,RSI탈출,MACD,BB회귀,거래량돌파,W패턴,STO_GC",현대차,3.7735844676152652,10517405.668487689,현대차 | NAVER | SK,2026-01
2026-01-13,SK이노베이션,6,0,"지지반등,RSI탈출,MACD,BB회귀,200일선,STO_GC",SK이노베이션,-0.6527416193830682,11120025.880044099,SK이노베이션 | 현대차 | LG에너지솔루션,2026-01
2026-01-14,POSCO홀딩스,6,0,"GC,MACD,BB회귀,거래량돌파,W패턴,STO_GC",POSCO홀딩스,2.9097963142580063,10927414.646026231,POSCO홀딩스 | LG에너지솔루션 | LG화학,2026-01
2026-01-15,SK텔레콤,6,0,"GC,MACD,BB회귀,W패턴,200일선,피보나치",SK텔레콤,-0.1418430353287814,11117237.957261894,SK텔레콤 | 현대차 | SK,2026-01
2026-01-16,LG에너지솔루션,7,0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",LG에너지솔루션,1.2750494002769397,11149018.504287723,LG에너지솔루션 | 삼성SDI | LG화학,2026-01
2026-01-19,고려아연,5,0,"GC,RSI탈출,MACD,BB회귀,STO_GC",고려아연,-1.1421319796954266,10765259.85734035,고려아연 | LG | 한국전력,2026-01
2026-01-20,LG에너지솔루션,7,0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",LG에너지솔루션,-5.192424181307043,10682458.490556883,LG에너지솔루션 | LG화학 | SK이노베이션,2026-01
2026-01-21,HMM,8,2,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",HMM,-0.6281407035175879,10235021.832347928,HMM | LG에너지솔루션 | LG화학,2026-01
2026-01-22,우리금융지주,5,1,"GC,MACD,BB회귀,W패턴,STO_GC",우리금융지주,-1.9464661411621398,10415615.323080085,우리금융지주 | 고려아연 | KB금융,2026-01
2026-01-23,SK이노베이션,7,1,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",SK이노베이션,1.5734254720222385,10049863.240014255,SK이노베이션 | LG에너지솔루션 | 삼성SDI,2026-01
2026-01-26,기업은행,6,0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",기업은행,-2.4347826086956514,10050577.003313884,기업은행 | KT&G | LG,2026-01
2026-01-27,카카오,6,1,"GC,MACD,BB회귀,W패턴,STO_GC,피보나치",카카오,1.7206137625791484e-06,10206447.050350733,카카오 | 메리츠금융지주 | NAVER,2026-01
2026-01-28,메리츠금융지주,7,0,"GC,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",메리츠금융지주,1.7915291007950973,10306436.857425911,메리츠금융지주 | 기업은행 | 카카오,2026-01
2026-01-29,메리츠금융지주,7,0,"GC,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",메리츠금융지주,0.0,10318924.35742591,메리츠금융지주 | 기업은행 | LG,2026-01
2026-01-30,메리츠금융지주,7,1,"GC,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",메리츠금융지주,0.1818181818181719,10792406.037425907,메리츠금융지주 | 기업은행 | KT&G,2026-01
2026-02-02,메리츠금융지주,6,1,"GC,MACD,BB회귀,W패턴,200일선,피보나치",메리츠금융지주,4.446460980036293,10841650.877425907,메리츠금융지주 | KT&G | 기업은행,2026-02
2026-02-03,메리츠금융지주,5,1,"GC,MACD,BB회귀,200일선,피보나치",메리츠금융지주,4.257167680278018,11018658.877425905,메리츠금융지주 | KT&G | 기업은행,2026-02
