date,side,tic,name,qty,price,buy_hit,sell_hit,signals,reason,pnl_pct,hold_days
2026-02-11,SELL,068270,셀트리온,50,220952.375,,,,익절(갭)+3.1%,3.111106185185286,2.0
2026-02-11,BUY,011200,HMM,527,20955.22468824228,7.0,2.0,"GC,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",매수7개 1위,,
2026-02-13,SELL,011200,HMM,527,20326.567947595013,,,,손절-3%,-2.9999999999999916,2.0
2026-02-13,BUY,011200,HMM,521,20518.656400240383,7.0,2.0,"GC,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",매수7개 1위,,
2026-02-19,SELL,011200,HMM,521,21973.881207840033,,,,익절(갭)+7.1%,7.092203208698411,1.0
2026-02-19,BUY,011200,HMM,520,21973.881207840033,7.0,2.0,"GC,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",매수7개 1위,,
2026-02-25,SELL,011200,HMM,520,22633.097644075235,,,,익절+3%,3.0000000000000027,4.0
2026-02-25,BUY,207940,삼성바이오로직스,6,1723000.0,7.0,1.0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",매수7개 1위,,
2026-02-26,SELL,207940,삼성바이오로직스,6,1774690.0,,,,익절+3%,3.0000000000000027,1.0
2026-02-26,BUY,373220,LG에너지솔루션,27,431500.0,6.0,1.0,"GC,MACD,BB회귀,W패턴,STO_GC,피보나치",매수6개 1위,,
2026-02-27,SELL,373220,LG에너지솔루션,27,418555.0,,,,손절-3%,-3.0000000000000027,1.0
2026-02-27,BUY,207940,삼성바이오로직스,6,1760000.0,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,피보나치",매수6개 1위,,
2026-03-03,SELL,207940,삼성바이오로직스,6,1707200.0,,,,손절-3%,-3.0000000000000027,1.0
2026-03-03,BUY,035720,카카오,186,60814.78266792705,7.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",매수7개 1위,,
2026-03-04,SELL,035720,카카오,186,53125.55851487779,,,,손절(갭)-12.6%,-12.643676119070403,1.0
2026-03-04,BUY,010130,고려아연,5,1843267.8193933822,4.0,2.0,"GC,MACD,W패턴,STO_GC",매수4개 1위,,
2026-03-05,SELL,010130,고려아연,5,1783486.1910176238,,,,손절(갭)-3.2%,-3.243241581434031,1.0
2026-03-06,BUY,207940,삼성바이오로직스,5,1614000.0,6.0,4.0,"GC,RSI탈출,MACD,BB회귀,200일선,STO_GC",매수6개 1위,,
2026-03-09,SELL,207940,삼성바이오로직스,5,1558000.0,,,,손절(갭)-3.5%,-3.4696406443618377,1.0
2026-03-09,BUY,035720,카카오,184,50100.0,5.0,4.0,"GC,RSI탈출,MACD,BB회귀,STO_GC",매수5개 1위,,
2026-03-10,SELL,035720,카카오,184,51800.0,,,,익절(갭)+3.4%,3.3932135728542923,1.0
2026-03-11,BUY,207940,삼성바이오로직스,5,1630000.0,6.0,4.0,"GC,RSI탈출,MACD,BB회귀,200일선,STO_GC",매수6개 1위,,
2026-03-13,SELL,207940,삼성바이오로직스,5,1581100.0,,,,손절-3%,-3.0000000000000027,2.0
2026-03-13,BUY,373220,LG에너지솔루션,25,370000.0,4.0,3.0,"BB회귀,W패턴,200일선,STO_GC",매수4개 1위,,
2026-03-18,SELL,373220,LG에너지솔루션,25,390500.0,,,,익절(갭)+5.5%,5.5405405405405395,3.0
2026-03-18,BUY,373220,LG에너지솔루션,25,390500.0,4.0,2.0,"BB회귀,W패턴,200일선,STO_GC",매수4개 1위,,
2026-03-19,SELL,373220,LG에너지솔루션,25,374500.0,,,,손절(갭)-4.1%,-4.097311139564663,1.0
2026-03-19,BUY,096770,SK이노베이션,83,111800.0,6.0,2.0,"GC,RSI탈출,BB회귀,200일선,STO_GC,피보나치",매수6개 1위,,
2026-03-20,SELL,096770,SK이노베이션,83,115154.0,,,,익절+3%,3.0000000000000027,1.0
2026-03-23,BUY,096770,SK이노베이션,86,111100.0,6.0,1.0,"GC,RSI탈출,BB회귀,200일선,STO_GC,피보나치",매수6개 1위,,
2026-03-24,SELL,096770,SK이노베이션,86,107767.0,,,,손절-3%,-3.0000000000000027,1.0
2026-03-25,BUY,373220,LG에너지솔루션,23,392000.0,5.0,0.0,"MACD,BB회귀,W패턴,200일선,STO_GC",매수5개 1위,,
2026-03-26,SELL,373220,LG에너지솔루션,23,380240.0,,,,손절-3%,-3.0000000000000027,1.0
2026-03-26,BUY,373220,LG에너지솔루션,22,392500.0,5.0,0.0,"MACD,BB회귀,W패턴,200일선,STO_GC",매수5개 1위,,
2026-03-27,SELL,373220,LG에너지솔루션,22,374000.0,,,,손절(갭)-4.7%,-4.713375796178343,1.0
2026-03-27,BUY,005490,POSCO홀딩스,25,334000.5660127737,5.0,0.0,"RSI탈출,BB회귀,W패턴,STO_GC,피보나치",매수5개 1위,,
2026-04-01,SELL,005490,POSCO홀딩스,25,344020.5829931569,,,,익절+3%,3.0000000000000027,3.0
2026-04-01,BUY,033780,KT&G,54,160300.0,5.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴",매수5개 1위,,
2026-04-02,SELL,033780,KT&G,54,155491.0,,,,손절-3%,-3.0000000000000027,1.0
2026-04-02,BUY,005490,POSCO홀딩스,24,348435.74505131965,7.0,2.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",매수7개 1위,,
2026-04-03,SELL,005490,POSCO홀딩스,24,358888.8174028593,,,,익절+3%,3.0000000000000027,1.0
2026-04-03,BUY,096770,SK이노베이션,74,118200.0,5.0,0.0,"MACD,W패턴,200일선,STO_GC,피보나치",매수5개 1위,,
2026-04-06,SELL,096770,SK이노베이션,74,121746.0,,,,익절+3%,3.0000000000000027,1.0
2026-04-06,BUY,051910,LG화학,29,303500.0,6.0,1.0,"GC,RSI탈출,MACD,BB회귀,200일선,STO_GC",매수6개 1위,,
2026-04-07,SELL,051910,LG화학,29,316500.0,,,,익절(갭)+4.3%,4.283360790774293,1.0
2026-04-07,BUY,373220,LG에너지솔루션,22,408000.0,6.0,1.0,"GC,MACD,BB회귀,W패턴,STO_GC,피보나치",매수6개 1위,,
2026-04-08,SELL,373220,LG에너지솔루션,22,420240.0,,,,익절+3%,3.0000000000000027,1.0
2026-04-08,BUY,051910,LG화학,28,342000.0,6.0,1.0,"GC,MACD,BB회귀,W패턴,200일선,피보나치",매수6개 1위,,
2026-04-09,SELL,051910,LG화학,28,353500.0,,,,익절(갭)+3.4%,3.3625730994152114,1.0
2026-04-09,BUY,011200,HMM,478,20700.0,7.0,0.0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",매수7개 1위,,
2026-04-10,SELL,011200,HMM,478,21321.0,,,,익절+3%,3.0000000000000027,1.0
2026-04-10,BUY,011200,HMM,490,20750.0,8.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",매수8개 1위,,
2026-04-13,SELL,011200,HMM,490,21500.0,,,,익절(갭)+3.6%,3.6144578313253017,1.0
2026-04-13,BUY,011200,HMM,489,21500.0,8.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC,피보나치",매수8개 1위,,
2026-04-14,SELL,011200,HMM,489,20855.0,,,,손절-3%,-3.0000000000000027,1.0
2026-04-14,BUY,010130,고려아연,6,1696802.8718162524,6.0,0.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",매수6개 1위,,
2026-04-15,SELL,010130,고려아연,6,1645898.7856617647,,,,손절-3%,-3.0000000000000027,1.0
2026-04-15,BUY,024110,기업은행,435,22650.0,6.0,0.0,"GC,MACD,BB회귀,W패턴,STO_GC,피보나치",매수6개 1위,,
2026-05-06,SELL,024110,기업은행,435,21970.5,,,,손절-3%,-3.0000000000000027,13.0
2026-05-06,BUY,011200,HMM,457,20850.0,6.0,2.0,"RSI탈출,BB회귀,W패턴,200일선,STO_GC,피보나치",매수6개 1위,,
2026-05-11,SELL,011200,HMM,457,20224.5,,,,손절-3%,-3.0000000000000027,3.0
2026-05-11,BUY,000270,기아,54,170400.0,4.0,3.0,"GC,MACD,BB회귀,W패턴",매수4개 1위,,
2026-05-12,SELL,000270,기아,54,175700.0,,,,익절(갭)+3.1%,3.1103286384976503,1.0
2026-05-12,BUY,000270,기아,54,175700.0,4.0,2.0,"GC,MACD,BB회귀,W패턴",매수4개 1위,,
2026-05-13,SELL,000270,기아,54,166500.0,,,,손절(갭)-5.2%,-5.2361980648833235,1.0
2026-05-13,BUY,068270,셀트리온,47,187619.046875,4.0,4.0,"지지반등,BB회귀,200일선,STO_GC",매수4개 1위,,
2026-05-14,SELL,068270,셀트리온,47,181333.328125,,,,손절(갭)-3.4%,-3.350256199834456,1.0
2026-05-14,BUY,017670,SK텔레콤,83,104032.79708799903,5.0,2.0,"GC,MACD,BB회귀,W패턴,STO_GC",매수5개 1위,,
2026-05-15,SELL,017670,SK텔레콤,83,100911.81317535906,,,,손절-3%,-3.0000000000000027,1.0
2026-05-15,BUY,068270,셀트리온,45,186190.46875,5.0,3.0,"지지반등,RSI탈출,BB회귀,200일선,STO_GC",매수5개 1위,,
2026-05-18,SELL,068270,셀트리온,45,179142.859375,,,,손절(갭)-3.8%,-3.7851611966576604,1.0
