date,side,tic,name,qty,price,buy_hit,signals,reason,amount,pnl_pct,hold_days
2026-01-02,BUY,017670,SK텔레콤,3,53057.7177019817,6.0,"RSI탈출,BB회귀,W패턴,200일선,STO_GC,피보나치",TOP5 1/5 배분,159173.1531059451,,
2026-01-02,BUY,138040,메리츠금융지주,1,113100.0,5.0,"GC,BB회귀,W패턴,200일선,STO_GC",TOP5 1/5 배분,113100.0,,
2026-01-02,BUY,086790,하나금융지주,1,91370.05972296573,4.0,"GC,MACD,W패턴,STO_GC",TOP5 1/5 배분,91370.05972296573,,
2026-01-06,SELL,068270,셀트리온,3,198095.234375,,,익절+30%(익일시가),,29.894453408757894,123.0
2026-01-06,SELL,005930,삼성전자,1,135020.5297651188,,,익절+30%(익일시가),,30.60298972308948,24.0
2026-01-06,BUY,035720,카카오,3,62412.54561373433,6.0,"GC,RSI탈출,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,187237.63684120297,,
2026-01-06,BUY,068270,셀트리온,1,198095.234375,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,198095.234375,,
2026-01-08,SELL,012330,현대모비스,2,399796.523657289,,,익절+30%(익일시가),,32.40589300380439,91.0
2026-01-08,BUY,000270,기아,2,125491.03833066454,6.0,"GC,MACD,BB회귀,거래량돌파,W패턴,STO_GC",TOP5 1/5 배분,250982.07666132908,,
2026-01-08,BUY,028260,삼성물산,1,262500.0,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,262500.0,,
2026-01-09,SELL,138040,메리츠금융지주,27,102590.0,,,손절-10%,,-9.999999999999998,128.0
2026-01-09,BUY,068270,셀트리온,3,201904.765625,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,605714.296875,,
2026-01-09,BUY,009150,삼성전기,2,275000.0,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,550000.0,,
2026-01-09,BUY,028260,삼성물산,2,270500.0,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,541000.0,,
2026-01-09,BUY,096770,SK이노베이션,7,101500.0,4.0,"지지반등,BB회귀,200일선,STO_GC",TOP5 1/5 배분,710500.0,,
2026-01-14,SELL,005490,POSCO홀딩스,9,348766.3736413044,,,익절+30%(익일시가),,32.809898244760575,130.0
2026-01-14,BUY,005490,POSCO홀딩스,2,348766.3736413044,6.0,"GC,MACD,BB회귀,거래량돌파,W패턴,STO_GC",TOP5 1/5 배분,697532.7472826088,,
2026-01-14,BUY,373220,LG에너지솔루션,2,394000.0,6.0,"RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",TOP5 1/5 배분,788000.0,,
2026-01-14,BUY,051910,LG화학,2,338324.2899962178,6.0,"RSI탈출,MACD,BB회귀,W패턴,STO_GC,피보나치",TOP5 1/5 배분,676648.5799924356,,
2026-01-14,BUY,096770,SK이노베이션,8,106100.0,6.0,"RSI탈출,MACD,BB회귀,W패턴,200일선,STO_GC",TOP5 1/5 배분,848800.0,,
2026-01-14,BUY,017670,SK텔레콤,16,53851.104700307376,6.0,"MACD,BB회귀,거래량돌파,W패턴,200일선,피보나치",TOP5 1/5 배분,861617.675204918,,
2026-01-15,SELL,000270,기아,15,136794.80643442622,,,익절+30%(익일시가),,29.676715365365382,112.0
2026-01-15,BUY,017670,SK텔레콤,10,54446.14453125,6.0,"GC,MACD,BB회귀,W패턴,200일선,피보나치",TOP5 1/5 배분,544461.4453125,,
2026-01-15,BUY,005380,현대차,1,406213.50777547393,5.0,"GC,MACD,BB회귀,거래량돌파,W패턴",TOP5 1/5 배분,406213.50777547393,,
2026-01-15,BUY,034730,SK,1,290560.8726679105,5.0,"GC,MACD,BB회귀,거래량돌파,W패턴",TOP5 1/5 배분,290560.8726679105,,
2026-01-15,BUY,086790,하나금융지주,5,93919.00229015073,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,469595.01145075366,,
2026-01-15,BUY,000270,기아,4,136794.80643442622,4.0,"GC,MACD,BB회귀,W패턴",TOP5 1/5 배분,547179.2257377049,,
2026-01-22,SELL,005380,현대차,1,581296.9761342155,,,익절+30%(익일시가),,43.10134079921224,4.0
2026-01-22,BUY,316140,우리금융지주,7,27856.841884128007,5.0,"GC,MACD,BB회귀,W패턴,STO_GC",TOP5 1/5 배분,194997.89318889607,,
2026-01-22,BUY,105560,KB금융,1,134516.11219376393,4.0,"GC,MACD,BB회귀,W패턴",TOP5 1/5 배분,134516.11219376393,,
2026-01-22,BUY,003550,LG,2,86411.79722731117,4.0,"GC,MACD,W패턴,STO_GC",TOP5 1/5 배분,172823.59445462233,,
2026-01-22,BUY,086790,하나금융지주,2,97252.24378109453,4.0,"GC,MACD,W패턴,STO_GC",TOP5 1/5 배분,194504.48756218905,,
2026-01-28,SELL,017670,SK텔레콤,40,69421.31906702899,,,익절+30%(익일시가),,28.342640705814247,124.0
